virus_type,host,location,country,sequence,lab_id,date,strain_name
A,Gallus gallus,Sichuan,China,047,MN.26A,2023-03-26,A/Red Junglefowl/CN-SC/3F72J.1-047-MN.26A-03/2023
A,Gallus gallus domesticus,Sichuan,China,758,MN.26A,2024-06-10,A/Chicken/CN-SC/3F72J.1-758-MN.26A-06/2024
A,Phasianus colchicus,Gauteng,South Africa,090,MN.26A,2023-10-11,A/Ring-necked Pheasant/ZA-GP/4FWMN.1-090-MN.26A-10/2023
A,Larus argentatus,Iowa,USA,682,MN.26A,2026-04-23,A/European Herring Gull/US-IA/3SBPN.1-682-MN.26A-04/2026
A,Vulpes vulpes,Tuscany,Italy,714,MN.26A,2025-03-13,A/Red Fox/IT-52/5BSG3.1-714-MN.26A-03/2025
A,Panthera tigris,Jalisco,Mexico,031,MN.26A,2025-05-01,A/Tiger/MX-JAL/4CGXS.1-031-MN.26A-05/2025
A,Falco peregrinus,Georgia,USA,202,MN.26A,2023-02-13,A/Peregrine Falcon/US-GA/3DTGL.1-202-MN.26A-02/2023
A,Meleagris gallopavo,Sichuan,China,086,MN.26A,2025-01-06,A/Wild Turkey/CN-SC/3ZDJV.1-086-MN.26A-01/2025
A,Gallus gallus domesticus,São Paulo,Brazil,703,MN.26A,2025-04-04,A/Chicken/BR-SP/3F72J.1-703-MN.26A-04/2025
A,Anas platyrhynchos,Brittany,France,050,MN.26A,2025-12-09,A/Wild Duck/FR/DGP6.1-050-MN.26A-12/2025
A,Anas platyrhynchos,,Egypt,944,MN.26A,2023-07-08,A/Wild Duck/EG/DGP6.1-944-MN.26A-07/2023
A,Felis catus,São Paulo,Brazil,250,MN.26A,2026-03-14,A/Domestic Cat/BR-SP/3DXV3.1-250-MN.26A-03/2026
A,Sus scrofa,,Egypt,978,MN.26A,2026-02-06,A/Wild Boar/EG/53HGR.1-978-MN.26A-02/2026
A,Homo sapiens,Jalisco,Mexico,733,MN.26A,2025-04-22,A/MX-JAL/6MB3T.1-733-MN.26A-04/2025
A,Gallus gallus domesticus,England,UK,882,MN.26A,2026-03-25,A/Chicken/GB-ENG/3F72J.1-882-MN.26A-03/2026
A,Gallus gallus domesticus,Tuscany,Italy,174,MN.26A,2025-07-16,A/Chicken/IT-52/3F72J.1-174-MN.26A-07/2025
A,Gallus gallus domesticus,Sichuan,China,289,MN.26A,2023-04-02,A/Chicken/CN-SC/3F72J.1-289-MN.26A-04/2023
A,Cygnus olor,Alberta,Canada,915,MN.26A,2026-02-04,A/Mute Swan/CA-AB/32ZQB.1-915-MN.26A-02/2026
A,Gallus gallus domesticus,Brittany,France,467,MN.26A,2023-12-31,A/Chicken/FR/3F72J.1-467-MN.26A-12/2023
A,Cygnus olor,Normandy,France,925,MN.26A,2026-04-18,A/Mute Swan/FR-NOR/32ZQB.1-925-MN.26A-04/2026
A,Gallus gallus,Guangdong,China,008,MN.26A,2025-03-24,A/Red Junglefowl/CN-GD/3F72J.1-008-MN.26A-03/2025
A,Bos taurus,,Russia,693,MN.26A,2025-07-15,A/Domestic Cattle/RU/MLQ5.1-693-MN.26A-07/2025
A,Falco peregrinus,Queensland,Australia,810,MN.26A,2023-05-03,A/Peregrine Falcon/AU-QLD/3DTGL.1-810-MN.26A-05/2023
A,Vulpes vulpes,Hubei,China,879,MN.26A,2024-05-22,A/Red Fox/CN/5BSG3.1-879-MN.26A-05/2024
A,Meleagris gallopavo,Tuscany,Italy,488,MN.26A,2024-02-17,A/Wild Turkey/IT-52/3ZDJV.1-488-MN.26A-02/2024
A,Falco peregrinus,Tuscany,Italy,894,MN.26A,2023-08-05,A/Peregrine Falcon/IT-52/3DTGL.1-894-MN.26A-08/2023
A,Sus scrofa,Scotland,UK,342,MN.26A,2023-12-14,A/Wild Boar/GB-SCT/53HGR.1-342-MN.26A-12/2023
A,Corvus corax,British Columbia,Canada,718,MN.26A,2025-07-04,A/Common Raven/CA-BC/YNHG.1-718-MN.26A-07/2025
A,Canis lupus familiaris,Quebec,Canada,794,MN.26A,2024-01-03,A/Domestic Dog/CA-QC/5G6ZJ.1-794-MN.26A-01/2024
A,Equus caballus,Alberta,Canada,902,MN.26A,2025-12-26,A/Domestic Horse/CA-AB/7TKN2.1-902-MN.26A-12/2025
A,Equus caballus,Lombardy,Italy,891,MN.26A,2024-07-11,A/Domestic Horse/IT-25/7TKN2.1-891-MN.26A-07/2024
A,Columba livia,Victoria,Australia,683,MN.26A,2023-12-14,A/Rock Pigeon/AU-VIC/XBFW.1-683-MN.26A-12/2023
A,Larus argentatus,Florida,USA,009,MN.26A,2025-07-31,A/European Herring Gull/US-FL/3SBPN.1-009-MN.26A-07/2025
A,Equus caballus,Washington,USA,740,MN.26A,2023-07-15,A/Domestic Horse/US-WA/7TKN2.1-740-MN.26A-07/2023
A,Anser anser,Western Cape,South Africa,626,MN.26A,2024-06-04,A/Greylag Goose/ZA-WC/679X7.1-626-MN.26A-06/2024
A,Panthera tigris,Quebec,Canada,849,MN.26A,2024-12-23,A/Tiger/CA-QC/4CGXS.1-849-MN.26A-12/2024
A,Vulpes vulpes,Western Cape,South Africa,889,MN.26A,2025-10-04,A/Red Fox/ZA-WC/5BSG3.1-889-MN.26A-10/2025
A,Anser anser,Hubei,China,301,MN.26A,2026-04-25,A/Greylag Goose/CN/679X7.1-301-MN.26A-04/2026
A,Gallus gallus domesticus,British Columbia,Canada,475,MN.26A,2024-11-21,A/Chicken/CA-BC/3F72J.1-475-MN.26A-11/2024
A,Sus scrofa,Saxony,Germany,444,MN.26A,2023-04-11,A/Wild Boar/DE/53HGR.1-444-MN.26A-04/2023
A,Bos taurus,New York,USA,219,MN.26A,2024-01-05,A/Domestic Cattle/US-NY/MLQ5.1-219-MN.26A-01/2024
A,Anas platyrhynchos,Minnesota,USA,576,MN.26A,2023-02-04,A/Wild Duck/US-MN/DGP6.1-576-MN.26A-02/2023
A,Columba livia,Texas,USA,278,MN.26A,2023-02-18,A/Rock Pigeon/US-TX/XBFW.1-278-MN.26A-02/2023
A,Corvus corax,Rio Grande do Sul,Brazil,466,MN.26A,2026-04-27,A/Common Raven/BR-RS/YNHG.1-466-MN.26A-04/2026
